Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2021;3.839.371
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2020;2.685.688
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2019;4.652.701
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2018;5.380.558
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2017;5.617.900
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2016;5.599.350
02 Aragón;Viajes;No de mercado;;Total;Total;Total;Total;Total;2015;4.746.600
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2024;1.396.356
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2023;1.480.286
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2022;1.808.217
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2021;1.471.913
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2020;792.982
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2019;1.801.445
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2018;1.801.908
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2017;1.855.044
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2016;1.736.672
02 Aragón;Viajes;No de mercado;Vivienda en propiedad;Total;Total;Total;Total;Total;2015;1.560.398
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2024;2.576.395
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2023;2.915.133
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2022;2.697.547
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2021;2.270.451
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2020;1.737.316
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2019;2.689.127
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2018;3.384.061
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2017;3.594.406
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2016;3.718.980
02 Aragón;Viajes;No de mercado;Vivienda de familiares o amigos;Total;Total;Total;Total;Total;2015;3.067.097
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2024;173.341
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2023;289.947
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2022;209.557
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2021;97.007
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2020;155.390
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2019;162.129
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2018;194.589
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2017;168.450
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2016;143.698
02 Aragón;Viajes;No de mercado;Resto de no mercado;Total;Total;Total;Total;Total;2015;119.105
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2024;1.859.728
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2023;1.934.654
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2022;1.875.757
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2021;1.327.653
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2020;942.182
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2019;1.682.433
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2018;1.731.222
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2017;1.863.067
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2016;1.500.627
03 Asturias, Principado de;Viajes;De mercado;;Total;Total;Total;Total;Total;2015;1.621.345
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2024;948.092
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2023;943.309
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2022;925.110
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2021;584.762
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2020;453.988
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2019;915.943
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2018;998.433
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2017;969.296
03 Asturias, Principado de;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2016;857.721
