Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2019;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2018;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2017;""
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2016;74.817
02 Aragón;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2015;""
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2024;104.089
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2023;371.549
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2022;281.963
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2021;314.927
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2020;265.048
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2019;327.194
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2018;474.179
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2017;666.615
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2016;393.644
02 Aragón;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2015;322.976
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2024;265.253
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2023;155.793
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2022;157.810
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2021;135.961
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2020;77.525
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2019;153.530
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2018;158.730
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2017;221.313
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2016;383.045
02 Aragón;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2015;179.480
